3225442	6	16
203051	6	16
441238	11	7
358662	11	16
960656	10	8
3A7673	12	2
134112	10	15
298411	10	11
186360	12	6
31A942	11	13
4316032	7	11
84605	15	3
10111110000111101010	2	14
219373	11	6
101222211120	3	14
A0028	12	14
103788	9	3
5614510	7	10
133369	12	6
7813C	14	10
111100314	5	11
1311104	6	4
33101332	6	12
129807	12	16
9AA29	11	8
6403011	7	11
1223211111	4	11
119762	11	5
111000200011	3	12
178536	11	14
471040	9	13
344751	11	2
10111010101010011001	2	5
72BCB	15	9
167535	9	5
3032527	8	4
33030250	6	15
21220212101	3	10
24324534	6	3
1637415	8	12
13423554	6	5
10110110011100011001	2	8
1AC4B1	14	6
285B38	12	10
3202220132	4	5
2112222202	4	14
89380	10	13
123664	15	6
9FE1C	16	10
124102141	5	5
1475187	9	12
25666A	12	5
1122402	6	13
21333C	13	7
20B3	12	7
10102212000	3	15
122100	15	11
136E9	15	6
1102102120022	3	14
884017	10	10
11100111001011011000	2	5
18843	9	8
121829	11	12
A9226	12	14
4222311	6	14
4822B	14	9
6655152	7	5
2024672	8	8
121333013	4	4
5540003	6	8
1707856	9	13
14342024	5	15
140701	11	11
82080	14	2
12542515	6	2
102105	12	7
12222550	6	10
13513212	6	12
310013102	4	16
1211200012011	3	15
AA977	16	12
686AA	12	14
24515304	6	4
331AB2	12	15
100000001000	3	4
12C73B	14	12
788532	10	2
9252	14	4
1760B9	13	8
12	12	16
1411854	9	4
34331440	5	15
191605	11	16
6159	13	2
11241130	5	2
2061CA	13	11
143064	13	10
501706	10	14
11001000101101011101	2	11
369B05	12	12
1210003133	4	11
1184386	9	6
704720	8	15
736734	9	9
1070431	9	13
1112122220122	3	3
77671	15	8
261652	11	4
8A3C	15	9
2576031	8	14
261377	9	12
1332020101	4	10
1650077	8	8
6341433	7	11
1000015	9	4
6B1B7	15	16
1111111010110100111	2	16
18A044	11	10
12020311	5	14
2103101331	4	10
303866	9	3
211020230	5	5
264078	12	3
285936	12	13
1321230	4	16
114403201	5	6
3210230223	4	5
443733	11	13
1121102111222	3	6
284750	10	2
838631	10	11
9B423	13	13
194413	11	8
3344204	8	3
3391D	16	9
10111100110001000101	2	4
15415053	6	4
260C3A	13	13
1640873	9	10
3122231303	4	4
10B005	13	5
12201221011	3	2
3021307	8	11
111237	11	7
B7775	16	9
20520521	6	14
132133000	5	13
262484	10	6
21069C	13	11
1211C	15	16
664158	10	12
124230400	5	12
1292C5	15	12
158708	13	4
12EA4	16	3
245A	14	12
593827	10	12
313210010	4	12
2617274	8	2
77081	12	16
142004112	5	5
3799AA	12	5
1102102211020	3	9
83213	12	6
3012333121	4	11
110030111	4	7
333120303	4	3
546160	9	9
1600466	9	4
45AD0	14	16
81876	12	2
1353455	7	4
430679	11	12
1010101111001001001	2	3
6136043	7	5
6523544	7	15
602215	8	13
3BB626	12	16
31431	15	4
122201011011	3	4
2280B3	12	9
667BF	16	14
826355	10	7
4500626	7	14
4555061	7	2
E0736	15	2
AEA6F	16	6
3424355	8	5
100120112201	3	10
209959	12	14
21233214	5	8
2C617	15	12
166176	10	3
1240135	7	6
116447	15	15
154A21	14	11
5025304	6	16
28953B	12	12
3222	8	5
21401440	5	4
BA397	15	14
301030130	4	12
131311201	4	6
132330024	5	9
32210352	6	12
4230354	7	2
E5C6F	16	13
210112021110	3	13
22034033	6	8
346098	12	10
38C5C	15	9
6531402	7	6
31131045	6	10
C551C	14	4
210020102102	3	13
231A5	16	15
41143302	5	8
305B5	16	3
248B63	13	13
2103120	8	10
681782	10	5
7BD01	15	8
209712	10	7
1110100011010000000	2	4
74511	8	14
9DB84	16	7
16328B	13	4
393CD	16	8
314259	11	7
136499	13	12
132018	13	16
15241354	6	15
14471	9	8
454110	10	11
491426	10	2
35F7D	16	9
1112100011111	3	7
451304	8	6
2406365	8	12
B1D5D	14	16
3624703	8	5
195200	11	10
20C7B	14	16
1010111110000	2	8
211100110022	3	10
13332553	6	13
E4CD8	15	15
346319	11	12
118358	13	11
6234211	7	5
441548	9	9
11BE28	15	16
24020	9	9
22834	10	15
86347	10	5
D267A	15	9
A1790	11	10
418704	10	15
133252	8	8
115A78	12	9
292314	11	12
200044313	5	10
10010010001100111	2	10
2121032	4	8
756760	10	3
37BA10	12	5
301220310	4	12
340215	7	7
165066	13	4
11000011011101000011	2	16
462622	7	14
5A5322	11	6
20255252	6	14
29711	11	3
2A556	11	12
44724	16	3
144202331	5	14
11341503	6	5
83989	13	9
150301	7	4
388667	9	9
3114325	6	4
1241212	8	6
127813	13	5
1A5100	12	2
4972B	15	11
1BABC2	14	10
33023002	6	5
30341345	6	16
342054	12	3
718E2	15	4
1794A7	14	4
680577	10	10
221303113	5	7
100010010	2	4
1BB37	13	6
182498	14	3
2544043	7	15
13243314	6	2
50044A	11	14
112350	12	8
8FB23	16	14
101010000011011010	2	14
842B	12	7
5B095	16	15
274B55	12	3
31433134	6	10
E85C9	16	10
612284	10	11
12503423	6	4
88DDB	16	16
25263C	13	10
169818	12	15
4A8433	11	16
2A5744	12	11
34031404	5	3
127298	11	3
1C5745	13	12
121200020001	3	3
271B40	12	5
4597A	15	3
E8901	15	6
14A519	15	2
10011001101011011001	2	2
533904	10	6
14106B	14	2
465005	9	14
19730B	14	15
120244010	5	14
32225002	6	11
580363	10	10
112141002	5	3
313546	9	16
3130121001	4	5
14515	12	2
212120221211	3	9
444926	10	10
366706	9	5
DB81E	15	3
5220013	7	14
2230027	8	5
100000110111000010	2	8
194477	12	2
3535240	7	12
470084	11	16
10011011010100111101	2	12
5131501	7	7
3431202	6	8
22099A	13	2
2565661	7	14
684312	10	7
182DD	15	14
38789	10	10
287144	12	8
57242	10	13
991CA	14	14
6611333	7	15
200134244	5	4
202221221222	3	7
115332	9	16
60E3C	15	4
191079	10	10
677791	10	16
8DD0	14	7
223000123	5	5
3A0660	12	10
3222311211	4	11
B1AC3	13	16
1131431	6	8
275695	13	15
2222110112	3	5
2550435	8	9
2112111212	3	14
13BA73	12	10
414652	8	3
4524200	6	14
202296	12	12
3101201313	4	11
3562262	7	9
1111011000001011001	2	4
184C27	14	6
45827	9	5
1110002220022	3	4
E9B9B	15	14
11110001110101110000	2	6
4C0E4	16	12
349464	10	13
27492A	11	2
220211011112	3	3
140042111	5	2
19803A	14	3
10011010111110010010	2	13
300133212	4	13
837510	10	16
406546	9	12
1111011110100100	2	14
274B68	12	7
E7E63	15	12
202047	12	2
221111010222	3	15
1733250	9	2
1934A8	11	10
22141005	6	10
19085C	13	3
163370	9	7
111011102	5	5
3562551	7	6
7A93A	12	10
444290	10	8
18510B	12	5
C4100	16	6
5D9FE	16	12
1A6A61	13	16
16765	14	16
10100110111101111010	2	14
1101120202020	3	12
2232476	8	12
1186787	9	11
22445450	6	10
1A296A	11	14
4424452	7	2
786102	9	3
5203410	7	13
1021222020021	3	11
3845D	14	8
11491B	12	9
60B65	14	8
18647A	12	15
702614	9	9
1351501	7	10
2312032233	4	16
212101123	5	7
298A86	11	11
58D51	14	12
2310130	8	11
474205	8	13
674215	9	9
76544	13	8
3103033012	4	11
1231311331	4	10
184047	9	15
100001101000001111	2	9
3DA67	14	7
15354503	6	2
261952	11	16
3426F	16	7
32451413	6	6
72743	15	5
1717562	9	7
11256235	7	5
2350450	7	11
10101010111011011111	2	2
34312140	5	14
3112322333	4	7
23021454	6	9
1172B8	14	8
5424655	7	5
1689C8	13	12
2A294	13	3
615522	11	11
117224	13	12
6DC22	14	4
214410	5	11
16345D	14	2
6A217	13	4
1C62A1	13	5
1111022211101	3	11
D6262	16	9
349461	10	3
147627	13	4
51A851	11	15
AD752	14	16
1985C	14	10
53AA3	15	6
202121220001	3	4
2113533	7	10
528B	16	7
11145665	7	12
1766207	8	11
15105	15	10
5CA0E	15	12
325710	9	14
134443323	5	4
643349	10	7
1000210021202	3	16
BBDF	16	2
528B1	14	8
30341154	6	5
1022211001222	3	8
3071A	16	6
381914	12	11
3023023133	4	13
1002020122022	3	16
6155025	7	9
10616331	7	15
2132150	6	14
5662346	7	2
190A57	12	2
1B9078	13	5
241	8	10
