3225442	6	26E82	16
203051	6	3F67	16
441238	11	5662410	7
358662	11	8A9F8	16
960656	10	3524220	8
3A7673	12	11101100000011110111	2
134112	10	29B0C	15
298411	10	194223	11
186360	12	13042200	6
31A942	11	14C200	13
4316032	7	3298A7	11
84605	15	210022221012	3
10111110000111101010	2	163B18	14
219373	11	11252301	6
101222211120	3	58C09	14
A0028	12	5581A	14
103788	9	10010212222	3
5614510	7	693112	10
133369	12	10442213	6
7813C	14	291114	10
111100314	5	303369	11
1311104	6	101131300	4
33101332	6	3B7848	12
129807	12	4AF47	16
9AA29	11	435620	8
6403011	7	489701	11
1223211111	4	281091	11
119762	11	22013321	5
111000200011	3	104441	12
178536	11	7222A	14
471040	9	9B9B8	13
344751	11	10000101110001101000	2
10111010101010011001	2	143431234	5
72BCB	15	614022	9
167535	9	11311310	5
3032527	8	3003111113	4
33030250	6	146746	15
21220212101	3	155908	10
24324534	6	1110022000111	3
1637415	8	1AA9A5	12
13423554	6	104020322	5
10110110011100011001	2	2663431	8
1AC4B1	14	32253123	6
285B38	12	673820	10
3202220132	4	214201121	5
2112222202	4	120C82	14
89380	10	318B5	13
123664	15	30405534	6
9FE1C	16	654876	10
124102141	5	124102141	5
1475187	9	335021	12
25666A	12	124101113	5
1122402	6	202AC	13
21333C	13	6421041	7
20B3	12	13320	7
10102212000	3	150C9	15
122100	15	542928	11
136E9	15	1200303	6
1102102120022	3	159918	14
884017	10	884017	10
11100111001011011000	2	220300104	5
18843	9	31430	8
121829	11	935B3	12
A9226	12	5B4D0	14
4222311	6	54B75	14
4822B	14	287437	9
6655152	7	202224132	5
2024672	8	2024672	8
121333013	4	121333013	4
5540003	6	1035543	8
1707856	9	2738A0	13
14342024	5	303E4	15
140701	11	140701	11
82080	14	1001100011001100000	2
12542515	6	1100110000010001111	2
102105	12	2100653	7
12222550	6	392034	10
13513212	6	1A2808	12
310013102	4	341D2	16
1211200012011	3	144A6D	15
AA977	16	298447	12
686AA	12	38A54	14
24515304	6	3000112120	4
331AB2	12	1108DB	15
100000001000	3	223100112	4
12C73B	14	273701	12
788532	10	11000000100000110100	2
9252	14	12021020	4
1760B9	13	2165552	8
12	12	E	16
1411854	9	2331113020	4
34331440	5	61580	15
191605	11	47FE2	16
6159	13	11010001110001	2
11241130	5	11001000100001001	2
2061CA	13	477087	11
143064	13	492210	10
501706	10	D0BA2	14
11001000101101011101	2	511732	11
369B05	12	369B05	12
1210003133	4	25A9A7	11
1184386	9	21503423	6
704720	8	48A93	15
736734	9	736734	9
1070431	9	172C60	13
1112122220122	3	1112122220122	3
77671	15	1345100	8
261652	11	1210212132	4
8A3C	15	44173	9
2576031	8	14A4D3	14
261377	9	7788A	12
1332020101	4	516625	10
1650077	8	1650077	8
6341433	7	483962	11
1000015	9	2001233333	4
